<TICKER>;<PER>;<DATE>;<TIME>;<OPEN>;<HIGH>;<LOW>;<CLOSE>;<VOL>
PLZL;D;220221;000000;12830;13316.5;11700;12320;450140
PLZL;D;220222;000000;12330;13150;11339;13014;505142
PLZL;D;220224;000000;12711.5;12754;8600;9810;495119
PLZL;D;220225;000000;9790;11439;9719.5;10633;282390
PLZL;D;220324;000000;11681;13004.5;11110.5;12300;104690
PLZL;D;220325;000000;12100;12466;11800;12200;38215
PLZL;D;220328;000000;12200;12280;11870;11985;29237
PLZL;D;220329;000000;11985.5;12149;10740.5;10982.5;68739
PLZL;D;220330;000000;11200;12182.5;11084.5;12074;35149
PLZL;D;220331;000000;12000;12890;11600;12727;85963
PLZL;D;220401;000000;12753;12872;12301;12500;45471
PLZL;D;220404;000000;12541.5;12999;12541.5;12950.5;38039
PLZL;D;220405;000000;12980;13950;12500;13512;73023
PLZL;D;220406;000000;13500;13940;13300;13450;73733
PLZL;D;220407;000000;13699;14125.5;13105;13975;51273
PLZL;D;220408;000000;14004.5;14100;13250;13636;33693
PLZL;D;220411;000000;13635;14394.5;13455;14375.5;73221
PLZL;D;220412;000000;14400;14950;14235.5;14392.5;92361
PLZL;D;220413;000000;14549.5;14549.5;14004;14051;51054
PLZL;D;220414;000000;14051;14123.5;13360;13365;49511
PLZL;D;220415;000000;13400;14180.5;12600;13900;56758
PLZL;D;220418;000000;13999;14283.5;13626;13700;31459
PLZL;D;220419;000000;13711;13957;13372.5;13650;32218
PLZL;D;220420;000000;13660;13848;13439;13848;27280
PLZL;D;220421;000000;13739.5;13739.5;13306;13642;34900
PLZL;D;220422;000000;13630;13633.5;13259.5;13400;13777
PLZL;D;220425;000000;13326.5;13339.5;12700;12789;25384
PLZL;D;220426;000000;12788.5;13100;12754;13005;33070
PLZL;D;220427;000000;12990;13220.5;12851;13130;35906
PLZL;D;220428;000000;13160;13475;13045.5;13262;44086
PLZL;D;220429;000000;13345;13800;13160;13630;40244
PLZL;D;220504;000000;13611;13744;13309.5;13498;25491
PLZL;D;220505;000000;13560;13900;13455;13615;52183
PLZL;D;220506;000000;13514;13614.5;13351;13485;17308
PLZL;D;220511;000000;13480;13484.5;13008;13100;32617
PLZL;D;220512;000000;13093.5;13099.5;12500;12757;25986
PLZL;D;220513;000000;12739;12789.5;12270;12270;29024
PLZL;D;220516;000000;12296.5;12400;12001;12335;49891
PLZL;D;220517;000000;12400;12572.5;12300;12380;41897
PLZL;D;220518;000000;12383;12450;12243.5;12351;40803
PLZL;D;220519;000000;12300.5;12350;12049;12350;18858
PLZL;D;220520;000000;12390;12454.5;12000;12000;29438
PLZL;D;220523;000000;12092;12124;11600;11624.5;24927
PLZL;D;220524;000000;11663;11698;10920.5;11461;37730
PLZL;D;220525;000000;11460;11650;11261;11650;24686
PLZL;D;220526;000000;11647.5;11770;11417;11666;30572
PLZL;D;220527;000000;11666;11906;11401;11440;26679
PLZL;D;220530;000000;11598;11800;11100;11800;35008
PLZL;D;220531;000000;11704;11799.5;11325.5;11624;23056
PLZL;D;220601;000000;11412.5;11567;11342.5;11567;24341
PLZL;D;220602;000000;11519.5;11567;11303;11400;19067
PLZL;D;220603;000000;11435;11489;11110;11145;31159
PLZL;D;220606;000000;11145;11200;11011;11090;17840
PLZL;D;220607;000000;11100;11141;10570;10849;49418
PLZL;D;220608;000000;10805.5;10968.5;10670;10799.5;27387
PLZL;D;220609;000000;10799.5;10845.5;10407;10680;31835
PLZL;D;220610;000000;10515.5;10598.5;10126.5;10192;56305
PLZL;D;220614;000000;10160;10357;10010.5;10300;40297
PLZL;D;220615;000000;10248;10300;10114;10152;30870
PLZL;D;220616;000000;10240;10250;10100;10245;39760
PLZL;D;220617;000000;10248.5;10350.5;10115;10350.5;43416
PLZL;D;220620;000000;10320.5;10408.5;10150;10228;69926
PLZL;D;220621;000000;10220;10239;9730;9777;107336
PLZL;D;220622;000000;9690;9690;9460;9609.5;100575
PLZL;D;220623;000000;9550;9569;9106.5;9288;119568
