<TICKER>;<PER>;<DATE>;<TIME>;<OPEN>;<HIGH>;<LOW>;<CLOSE>;<VOL>
PLZL;D;220221;000000;12,830;13,316.5;11,700;12,320;450,140
PLZL;D;220222;000000;12,330;13,150;11,339;13,014;505,142
PLZL;D;220224;000000;12,711.5;12,754;8,600;9,810;495,119
PLZL;D;220225;000000;9,790;11,439;9,719.5;10,633;282,390
PLZL;D;220324;000000;11,681;13,004.5;11,110.5;12,300;104,690
PLZL;D;220325;000000;12,100;12,466;11,800;12,200;38,215
PLZL;D;220328;000000;12,200;12,280;11,870;11,985;29,237
PLZL;D;220329;000000;11,985.5;12,149;10,740.5;10,982.5;68,739
PLZL;D;220330;000000;11,200;12,182.5;11,084.5;12,074;35,149
PLZL;D;220331;000000;12,000;12,890;11,600;12,727;85,963
PLZL;D;220401;000000;12,753;12,872;12,301;12,500;45,471
PLZL;D;220404;000000;12,541.5;12,999;12,541.5;12,950.5;38,039
PLZL;D;220405;000000;12,980;13,950;12,500;13,512;73,023
PLZL;D;220406;000000;13,500;13,940;13,300;13,450;73,733
PLZL;D;220407;000000;13,699;14,125.5;13,105;13,975;51,273
PLZL;D;220408;000000;14,004.5;14,100;13,250;13,636;33,693
PLZL;D;220411;000000;13,635;14,394.5;13,455;14,375.5;73,221
PLZL;D;220412;000000;14,400;14,950;14,235.5;14,392.5;92,361
PLZL;D;220413;000000;14,549.5;14,549.5;14,004;14,051;51,054
PLZL;D;220414;000000;14,051;14,123.5;13,360;13,365;49,511
PLZL;D;220415;000000;13,400;14,180.5;12,600;13,900;56,758
PLZL;D;220418;000000;13,999;14,283.5;13,626;13,700;31,459
PLZL;D;220419;000000;13,711;13,957;13,372.5;13,650;32,218
PLZL;D;220420;000000;13,660;13,848;13,439;13,848;27,280
PLZL;D;220421;000000;13,739.5;13,739.5;13,306;13,642;34,900
PLZL;D;220422;000000;13,630;13,633.5;13,259.5;13,400;13,777
PLZL;D;220425;000000;13,326.5;13,339.5;12,700;12,789;25,384
PLZL;D;220426;000000;12,788.5;13,100;12,754;13,005;33,070
PLZL;D;220427;000000;12,990;13,220.5;12,851;13,130;35,906
PLZL;D;220428;000000;13,160;13,475;13,045.5;13,262;44,086
PLZL;D;220429;000000;13,345;13,800;13,160;13,630;40,244
PLZL;D;220504;000000;13,611;13,744;13,309.5;13,498;25,491
PLZL;D;220505;000000;13,560;13,900;13,455;13,615;52,183
PLZL;D;220506;000000;13,514;13,614.5;13,351;13,485;17,308
PLZL;D;220511;000000;13,480;13,484.5;13,008;13,100;32,617
PLZL;D;220512;000000;13,093.5;13,099.5;12,500;12,757;25,986
PLZL;D;220513;000000;12,739;12,789.5;12,270;12,270;29,024
PLZL;D;220516;000000;12,296.5;12,400;12,001;12,335;49,891
PLZL;D;220517;000000;12,400;12,572.5;12,300;12,380;41,897
PLZL;D;220518;000000;12,383;12,450;12,243.5;12,351;40,803
PLZL;D;220519;000000;12,300.5;12,350;12,049;12,350;18,858
PLZL;D;220520;000000;12,390;12,454.5;12,000;12,000;29,438
PLZL;D;220523;000000;12,092;12,124;11,600;11,624.5;24,927
PLZL;D;220524;000000;11,663;11,698;10,920.5;11,461;37,730
PLZL;D;220525;000000;11,460;11,650;11,261;11,650;24,686
PLZL;D;220526;000000;11,647.5;11,770;11,417;11,666;30,572
PLZL;D;220527;000000;11,666;11,906;11,401;11,440;26,679
PLZL;D;220530;000000;11,598;11,800;11,100;11,800;35,008
PLZL;D;220531;000000;11,704;11,799.5;11,325.5;11,624;23,056
PLZL;D;220601;000000;11,412.5;11,567;11,342.5;11,567;24,341
PLZL;D;220602;000000;11,519.5;11,567;11,303;11,400;19,067
PLZL;D;220603;000000;11,435;11,489;11,110;11,145;31,159
PLZL;D;220606;000000;11,145;11,200;11,011;11,090;17,840
PLZL;D;220607;000000;11,100;11,141;10,570;10,849;49,418
PLZL;D;220608;000000;10,805.5;10,968.5;10,670;10,799.5;27,387
PLZL;D;220609;000000;10,799.5;10,845.5;10,407;10,680;31,835
