<TICKER>;<PER>;<DATE>;<TIME>;<OPEN>;<HIGH>;<LOW>;<CLOSE>;<VOL>
SELG;D;220221;000000;53.99;55.92;48.78;48.78;632,700
SELG;D;220222;000000;47;49.96;42.98;48.93;449,000
SELG;D;220224;000000;44.15;48.87;35.69;40.48;1,099,600
SELG;D;220225;000000;40.48;48;40.48;44.55;470,750
SELG;D;220328;000000;46.5;50;46;47.8;687,060
SELG;D;220329;000000;48.5;50.97;46.62;47.41;651,780
SELG;D;220330;000000;49.15;49.15;46.75;47.62;248,400
SELG;D;220331;000000;48.69;48.69;47.5;47.9;852,440
SELG;D;220401;000000;48.2;48.49;47;47.99;534,810
SELG;D;220404;000000;48.93;51;46.5;48.02;464,910
SELG;D;220405;000000;48.17;48.6;45.43;46.51;389,400
SELG;D;220406;000000;45.24;47.67;45.24;46.3;239,550
SELG;D;220407;000000;47.36;47.36;45.02;46.65;206,510
SELG;D;220408;000000;46.65;47;45.3;45.95;190,490
SELG;D;220411;000000;46.79;61.3;45.87;50.2;3,187,130
SELG;D;220412;000000;51.85;57;51.12;52.29;4,962,730
SELG;D;220413;000000;53.81;54.36;51;51.28;1,273,850
SELG;D;220414;000000;51.27;53;50.04;51.18;1,317,170
SELG;D;220415;000000;51.45;52.05;51.18;51.56;813,400
SELG;D;220418;000000;51.94;52.79;50.01;51.22;831,760
SELG;D;220419;000000;51.93;52.9;51;51.19;574,920
SELG;D;220420;000000;51.25;51.51;50.26;50.26;515,220
SELG;D;220421;000000;50.29;51.5;49.02;49.5;513,250
SELG;D;220422;000000;50.6;51.36;49.12;50;450,730
SELG;D;220425;000000;50.3;51.3;48;48.52;408,260
SELG;D;220426;000000;48.5;49.88;48.01;49.52;336,840
SELG;D;220427;000000;49.22;50.9;49.22;49.86;475,250
SELG;D;220428;000000;50.19;50.5;45.98;47.6;928,560
SELG;D;220429;000000;48.5;50.9;47.6;49.02;995,730
SELG;D;220504;000000;49.79;50;47.8;48.34;363,220
SELG;D;220505;000000;48.5;50;48.42;48.9;510,870
SELG;D;220506;000000;53.79;60.97;49.5;50.19;7,135,400
SELG;D;220511;000000;50.44;50.8;49.57;49.81;722,030
SELG;D;220512;000000;49.87;49.98;48.52;48.9;516,390
SELG;D;220513;000000;49.13;49.4;48.04;48.77;392,480
SELG;D;220516;000000;49.91;50;48.8;48.8;563,180
SELG;D;220517;000000;49.2;49.68;49.02;49.21;394,860
SELG;D;220518;000000;49.46;49.46;46.74;49.01;787,490
SELG;D;220519;000000;49.19;49.34;48.8;48.91;445,860
SELG;D;220520;000000;49.27;49.27;47.88;48.73;439,960
SELG;D;220523;000000;49;49.07;47.42;47.91;552,300
SELG;D;220524;000000;48.1;48.16;46.13;47.02;483,110
SELG;D;220525;000000;47;48;46.27;47.98;395,970
SELG;D;220526;000000;47.98;48.83;46.81;47.86;616,390
SELG;D;220527;000000;48.27;48.79;47.72;48.07;322,690
SELG;D;220530;000000;48.15;48.99;47.72;48.03;432,570
SELG;D;220531;000000;48.05;48.34;47.8;48.01;312,420
SELG;D;220601;000000;48.36;48.39;47.7;47.98;315,870
SELG;D;220602;000000;48.25;48.39;47.5;48.08;310,370
SELG;D;220603;000000;48.15;48.25;47.7;48.15;478,040
SELG;D;220606;000000;48.38;48.48;48.2;48.3;422,430
SELG;D;220607;000000;48.4;48.48;48.1;48.38;489,890
SELG;D;220608;000000;48.39;48.57;48.2;48.41;561,590
SELG;D;220609;000000;48.56;48.62;47.88;48.47;654,940
